,t,x,y,z
743,7.43,1.169382775895316,-1.159859857134764,23.756830287122206
744,7.44,0.950632622596438,-1.1004125610098276,23.119891183644427
745,7.45,0.7581462044174277,-1.0455474263223739,22.50248468853735
746,7.46,0.5889259820862773,-0.9964781069138465,21.90358213707287
747,7.47,0.44016354776438815,-0.9540338867622429,21.322270706118942
748,7.48,0.30925372675829854,-0.9187496684842877,20.757742995538273
749,7.49,0.19379950373764127,-0.890941163790729,20.209284721323915
750,7.5,0.09160996760209354,-0.8707670922407296,19.67626223313123
751,7.51,0.0006930894070258375,-0.858280159668291,19.158110864340593
752,7.5200000000000005,-0.08075518886718434,-0.8534684841867302,18.65432464333392
753,7.53,-0.1543643697391347,-0.8562889987366522,18.164447582863513
754,7.54,-0.2216043857620601,-0.866694205201662,17.688066573446015
755,7.55,-0.28380143324938395,-0.8846534986852137,17.22480580012466
756,7.5600000000000005,-0.3421541095491311,-0.9101701291294282,16.774322552255693
757,7.57,-0.39774945565546926,-0.9432947254240949,16.336304283232543
758,7.58,-0.4515786254788797,-0.984136176859819,15.910466787254157
759,7.59,-0.5045519994695732,-1.032870549275696,15.496553383917265
760,7.6000000000000005,-0.5575136369371195,-1.0897486087118429,15.0943350324999
761,7.61,-0.6112550214263182,-1.1551024333581965,14.703611332693548
762,7.62,-0.6665280996293106,-1.2293515142015692,14.324212405359498
763,7.63,-0.7240576489086133,-1.313008674775377,13.956001684960903
764,7.640000000000001,-0.7845530335892293,-1.4066860792860838,13.598879694807781
765,7.65,-0.8487194274147986,-1.5111015443386027,13.25278891785655
766,7.66,-0.9172685902757173,-1.6270853204465805,12.917719920615346
767,7.67,-0.9909292924919577,-1.755587463109792,12.593718937068626
768,7.68,-1.0704574802163749,-1.897685866683419,12.280897174975562
769,7.69,-1.1566462712108272,-2.054594984234752,11.979442170057906
770,7.7,-1.250335861256085,-2.2276751990519803,11.689631586160955
771,7.71,-1.3524234072861578,-2.418442743453368,11.411849943079094
772,7.72,-1.4638729330020968,-2.628579971790199,11.146608849808215
773,7.73,-1.5857252746548345,-2.859945679120595,10.894571430477932
774,7.74,-1.71910804662104,-3.1145850048656465,10.656581753209828
775,7.75,-1.865245555187747,-3.3947382589957282,10.433700207212953
776,7.76,-2.025468520383498,-3.7028477406404203,10.227245916641465
777,7.7700000000000005,-2.201223374174258,-4.04156126499816,10.038847423217721
778,7.78,-2.394080781660911,-4.413730648697176,9.870502999357441
779,7.79,-2.6057428708702646,-4.8224027956411,9.724652046256134
780,7.8,-2.83804844481859,-5.270800238923749,9.60425905014794
781,7.8100000000000005,-3.092975172705417,-5.762286989666303,9.51291145793322
782,7.82,-3.37263739878843,-6.300314280004187,9.454932505702129
783,7.83,-3.679277749065225,-6.888339230682985,9.435509366726777
784,7.84,-4.01525013802973,-7.529707609010472,9.460835803921878
785,7.8500000000000005,-4.382991063400498,-8.227489697524488,9.538266574276332
786,7.86,-4.7849752164329376,-8.984255973987535,9.67647781923644
787,7.87,-5.223650436881886,-9.801777051913263,9.88562318126824
788,7.88,-5.701345944775504,-10.680630610965046,10.177468938293776
789,7.890000000000001,-6.220146681278541,-11.619697657009668,10.56548255254077
790,7.9,-6.781725672311556,-12.615532669149445,11.064837303988867
791,7.91,-7.387125908675931,-13.661598918083566,11.69228108614378
792,7.92,-8.036483818017128,-14.747374098219238,12.465800715342336
793,7.930000000000001,-8.728688724152464,-15.857355663318918,13.403996385327597
